[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\System32\spoolsv.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:39] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:39] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:40] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:40] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:40] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:40] LOADED | Host: C:\WINDOWS\system32\wbem\unsecapp.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:40] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:41] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:41] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:41] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:41] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:41] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:41] LOADED | Host: C:\WINDOWS\system32\dxgiadaptercache.exe
[2026-04-12 19:41:42] UNLOADED | Host: C:\WINDOWS\system32\dxgiadaptercache.exe
[2026-04-12 19:41:43] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:43] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:41:43] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\sihost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:46] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:47] LOADED | Host: C:\WINDOWS\system32\userinit.exe
[2026-04-12 19:41:47] LOADED | Host: C:\Windows\System32\ShellHost.exe

[2026-04-12 19:41:47] LOADED | Host: C:\WINDOWS\Explorer.EXE
[2026-04-12 19:41:47] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:47] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:48] LOADED | Host: C:\WINDOWS\system32\rundll32.exe
[2026-04-12 19:41:48] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:48] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:49] LOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:49] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:49] LOADED | Host: C:\Program Files (x86)\Google\GoogleUpdater\148.0.7730.0\updater.exe
[2026-04-12 19:41:49] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:49] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:50] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:50] LOADED | Host: C:\WINDOWS\system32\DllHost.exe
[2026-04-12 19:41:50] LOADED | Host: C:\WINDOWS\system32\DllHost.exe
[2026-04-12 19:41:51] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:52] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:54] LOADED | Host: C:\WINDOWS\system32\AUDIODG.EXE
[2026-04-12 19:41:55] UNLOADED | Host: C:\WINDOWS\system32\taskhostw.exe
[2026-04-12 19:41:55] LOADED | Host: C:\WINDOWS\System32\mobsync.exe
[2026-04-12 19:41:56] LOADED | Host: C:\WINDOWS\system32\DllHost.exe
[2026-04-12 19:41:56] LOADED | Host: C:\WINDOWS\system32\ctfmon.exe
[2026-04-12 19:41:58] UNLOADED | Host: C:\WINDOWS\system32\rundll32.exe
[2026-04-12 19:42:05] UNLOADED | Host: C:\WINDOWS\System32\mobsync.exe
[2026-04-12 19:42:08] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:42:12] UNLOADED | Host: C:\WINDOWS\system32\userinit.exe
[2026-04-12 19:42:15] LOADED | Host: C:\Windows\System32\smartscreen.exe
[2026-04-12 19:42:15] LOADED | Host: C:\Windows\System32\SecurityHealthSystray.exe
[2026-04-12 19:42:17] LOADED | Host: C:\WINDOWS\system32\wlrmdr.exe
e
